id,country_id,year,Population growth,Urban population,Urban population growth,Fertility rate,Life expectancy (females),Life expectancy (males),Population distribution (children),Population distribution (elders),Migrant,Migrant ratio,Refugees,Infant mortality,Health expenditure,Physicians ratio,Education expenditure,Primary enroll ratio (females),Primary enroll ratio (males),Secondary enroll ratio (females),Secondary enroll ratio (males),Tertiary enroll ratio (females),Tertiary enroll ratio (males),Homicide rate,Women in parliaments
413,138,2010,1.4,67.6,3.0,2.4,70.3,62.4,27.0,5.7,16.1,0.6,0.3,30.5,4.2,2.8,4.6,124.2,127.1,94.8,88.4,65.3,42.5,8.8,3.9
414,138,2018,1.9,68.4,2.1,2.8,72.7,64.5,29.9,6.8,18.2,0.6,0.0,22.8,3.9,3.3,5.2,103.0,105.4,100.6,100.0,75.3,54.1,5.7,17.1
415,139,2005,0.1,62.5,1.4,1.9,76.2,70.6,20.2,17.0,,,,11.6,7.7,,,112.6,112.8,95.8,93.3,27.2,17.2,3.6,
416,139,2010,0.3,64.1,0.8,1.8,76.5,71.9,19.2,17.9,78.5,12.6,18.3,10.9,5.9,2.0,,109.6,111.2,101.0,99.7,58.3,46.5,2.4,11.1
417,139,2018,0.1,66.8,0.6,1.7,78.8,74.0,18.0,21.7,71.0,11.3,13.0,4.1,6.0,2.3,,94.6,97.4,90.5,90.6,63.4,50.8,4.5,23.5
418,140,2005,-0.7,9.3,29.3,1.7,,,19.3,19.9,1.2,26.0,,,,,,118.7,114.6,122.5,111.0,,,20.9,
419,140,2010,0.7,9.2,0.3,,,,19.6,19.0,1.3,25.8,0.0,,,,5.1,112.9,101.2,103.2,101.1,,,20.4,
420,140,2018,0.7,9.1,0.5,,,,19.7,19.6,1.4,26.3,,,,,,,,,,,,19.9,
421,141,2005,1.1,55.2,1.8,2.7,71.4,68.5,30.8,8.2,54.4,0.2,2.1,36.6,4.8,0.5,,100.5,110.8,46.0,54.0,10.5,13.0,1.5,10.8
422,141,2010,1.2,58.0,2.2,2.6,74.4,71.3,28.5,8.6,70.9,0.2,1.1,33.2,5.9,0.7,5.3,106.2,112.8,58.8,67.5,13.7,15.2,1.4,10.5
423,141,2018,1.4,62.5,2.4,2.6,76.0,73.7,27.2,11.0,95.8,0.3,7.1,28.1,5.5,0.6,,107.3,113.0,64.1,75.0,30.7,33.2,1.2,20.5
424,142,2005,2.9,30.0,3.5,5.8,51.2,47.9,45.6,4.8,204.8,1.0,6.0,94.3,6.4,0.0,4.4,88.9,105.7,10.8,15.6,0.9,1.9,5.2,34.8
425,142,2010,2.9,31.8,4.1,5.6,55.0,51.4,45.7,4.8,214.6,0.9,10.0,78.1,5.1,0.0,4.3,104.2,116.0,22.0,27.0,3.6,5.6,3.6,39.2
