id,country_id,year,GDP,GDP growth,GDP per capita,Agriculture,Industry,Services,Agriculture employment,Industry employment,Services employment,Unemployment rate,Labour participation (females),Labour participation (males),CPI,Agricultural index,Industrial index,Exports,Imports,Trade balance,Current account
611,206,2010,3999,-1.3,3604.0,4.8,79.9,15.3,50.8,9.3,39.9,3.3,26.5,56.2,100,124,,42,298,-256,1671
612,206,2018,2703,5.0,2131.0,7.0,69.2,23.8,24.9,15.4,59.7,3.5,24.7,52.1,142,111,,197,724,-527,-339
613,207,2005,2281,-4.7,401.0,32.9,15.9,51.2,42.5,17.9,39.6,1.9,80.5,80.7,78,97,100,360,593,-233,-204
614,207,2010,3426,6.1,527.0,33.8,16.0,50.3,38.4,18.3,43.4,1.9,77.0,80.3,100,123,124,648,1205,-557,-200
615,207,2018,4449,5.0,585.0,28.7,17.3,54.0,36.9,17.3,45.8,1.8,75.6,79.3,110,142,156,749,1615,-866,-461
616,208,2005,,,,,,,,,,,,,,100,,0,1,-1,
617,208,2010,,,,,,,,,,,,,,108,,0,1,-1,
618,208,2018,,,,,,,,,,,,,,115,,0,1,-1,
619,208,2005,,,,,,,,,,,,,,100,,0,1,-1,
620,208,2010,,,,,,,,,,,,,,108,,0,1,-1,
621,208,2018,,,,,,,,,,,,,,115,,0,1,-1,
622,208,2005,,,,,,,,,,,,,,100,,0,1,-1,
623,208,2010,,,,,,,,,,,,,,108,,0,1,-1,
624,208,2018,,,,,,,,,,,,,,115,,0,1,-1,
625,208,2005,,,,,,,,,,,,,,100,,0,1,-1,
626,208,2010,,,,,,,,,,,,,,108,,0,1,-1,
627,208,2018,,,,,,,,,,,,,,115,,0,1,-1,
628,208,2005,,,,,,,,,,,,,,100,,0,1,-1,
629,208,2010,,,,,,,,,,,,,,108,,0,1,-1,
630,208,2018,,,,,,,,,,,,,,115,,0,1,-1,
631,209,2005,262,1.6,2589.0,20.2,19.1,60.6,31.9,30.3,37.7,3.0,45.5,75.2,77,98,,10,120,-110,-21
632,209,2010,374,3.6,3590.0,18.2,19.9,61.8,31.6,30.6,37.8,1.1,45.4,75.0,100,135,,8,159,-151,-80
633,209,2018,401,3.4,3748.0,19.3,19.4,61.3,31.6,31.7,36.7,1.2,45.1,74.1,113,137,,10,212,-201,-56
634,210,2005,15982,6.2,12323.0,0.5,56.7,42.8,4.3,31.1,64.5,8.0,53.5,76.2,65,99,100,9611,5694,3918,3881
635,210,2010,22123,3.3,16658.0,0.4,51.3,48.3,3.7,30.2,66.1,5.9,52.5,75.4,100,96,159,10982,6480,4502,4172
636,210,2018,24086,-2.3,17646.0,0.4,37.8,61.8,3.6,26.8,69.6,5.1,51.0,73.2,140,96,142,8863,6425,2439,2325
